SEARCH - Leveraging User Actions in Search (286);Beyond Dwell Time: Estimating Document Relevance from Cursor Movements and other Post-click Searcher Behavior;14
SEARCH - Leveraging User Actions in Search (412);Joint Relevance and Freshness Learning From Clickthroughs for News Search;14
SEARCH - Leveraging User Actions in Search (45);Active Objects: Actions for Entity-Centric Search;14
SEMANTICS - Ontology Representation and Querying : RDF and SPARQL (809);Counting beyond a Yottabyte, or how SPARQL 1.1 Property Paths will prevent adoption of the standard;14
SEMANTICS - Ontology Representation and Querying : RDF and SPARQL (1290);SPARQL Template Based Question Answering;14
SEMANTICS - Ontology Representation and Querying : RDF and SPARQL (562);On Directly Mapping Relational Databases to RDF and OWL;14
SOCIAL NETWORKS - Information diffusion in Social Networks (64);Information Transfer in Social Media;14
SOCIAL NETWORKS - Information diffusion in Social Networks (168);The Role of Social Networks in Information Diffusion;14
SOCIAL NETWORKS - Information diffusion in Social Networks (182);Recommendations to Boost Content Spread in Social Networks;14
BEHAVIOR - Web User Behavioral Analysis and Modeling (518);Learning and Predicting Behavioral Dynamics on the Web;14
BEHAVIOR - Web User Behavioral Analysis and Modeling (1064);Are Web users really Markovian?ü;14
BEHAVIOR - Web User Behavioral Analysis and Modeling (1105);Human Wayfinding in Information Networks;14
SEARCH - Evaluation and Ranking (441);A Flexible Generative Model for Preference Aggregation;14
SEARCH - Evaluation and Ranking (441);Evaluating the Effectiveness of Search Task Trails;14
SEARCH - Evaluation and Ranking (441);Evaluation with Informational and Navigational Intents;14
WEB MINING - Leveraging User-Generated Content (1153);Mining Photo-sharing Websites to Study Ecological Phenomena;14
WEB MINING - Leveraging User-Generated Content (409);Learning from the Past: Answering New Questions with Past Answers;14
WEB MINING - Leveraging User-Generated Content (1261);Discovering Geographical Topics from Twitter Streams;14
DATABASES - Data And Content Management - 1 (52);Declarative Platform for Data Sourcing Games;14
DATABASES - Data And Content Management - 1 (1146);Information Integration Over Time in Unreliable and Uncertain Environments;14
DATABASES - Data And Content Management - 1 (1219);SAFE Extensibility for Data-Driven Web Applications;14
SOCIAL NETWORKS - Social Onteractions and the Web (995);Actions speak as loud as words: Predicting relationships from social behavior data;14
SOCIAL NETWORKS - Social Onteractions and the Web (1018);Echoes of power: How power differences between people are revealed by linguistic style coordination;14
SOCIAL NETWORKS - Social Onteractions and the Web (1276);Bimodal Invitation-Navigation Fair Bets Model for Authority Identification in an Online Social Network;14
SECURITY PERFORMANCE - Security - 2 (955);Practical End-to-End Web Content Integrity;14
SECURITY PERFORMANCE - Security - 2 (944);Online Modeling of Proactive Moderation System for Auction Fraud Detection;14
SECURITY PERFORMANCE - Security - 2 (65);Serf and Turf: Crowdturfing for Fun and Profit;14
INFO EXTRACTION SEMANTICS - Entity and Taxonomy Extraction (491);Targeted Disambiguation of Ad-hoc, Homogeneous Sets of Named Entities;14
INFO EXTRACTION SEMANTICS - Entity and Taxonomy Extraction (858);Context-Aware Topic Models for Entity Disambiguation;14
INFO EXTRACTION SEMANTICS - Entity and Taxonomy Extraction (1040);Document Hierarchies from Text and Links;14
ENGINEERING PERFORMANCE - Web Engineering - 1 (114);On the Analysis of Cascading Style Sheetsü;14
ENGINEERING PERFORMANCE - Web Engineering - 1 (370);Extracting Client-side Web Application code;14
ENGINEERING PERFORMANCE - Web Engineering - 1 (1014);Forms form Patterns: Reusable Form Understanding;14
INFO EXTRACTION SEMANTICS - Information Extraction (127);Micropinion Generation: An Unsupervised Approach to Generating Ultra-Concise Summaries of Opinions;14
INFO EXTRACTION SEMANTICS - Information Extraction (453);Using Variational Inference and MapReduce to Scale Topic Modeling;14
INFO EXTRACTION SEMANTICS - Information Extraction (860);Combining Flat and Structured Approaches for Temporal Slot Filling or: How Much to Compress?;14
WEB MINING - Web Mining (590);Trains of Thought: Generating Information Maps;14
WEB MINING - Web Mining (524);Learning Causality for News Events Prediction;14
WEB MINING - Web Mining (860);Your Two Weeks of Fame and Your Grandmother's;14
SOCIAL NETWORKS - Collaboration in Social Networks (252);Online Team Formation in Social Networks;14
SOCIAL NETWORKS - Collaboration in Social Networks (626);Understanding Task-driven Information Flow in Collaborative Networks;14
SOCIAL NETWORKS - Collaboration in Social Networks (764);New Objective Functions for Social Collaborative Filtering;14
DATABASES - Data And Content Management - 2 (367);A Uni_ed Approach to Learning Task-Speci_c Bit Vector Representations for Fast, Nearest Neighbour Searchü;14
DATABASES - Data And Content Management - 2 (468);Lightweight Automatic Face Annotation in Media Pages;14
DATABASES - Data And Content Management - 2 (743);Distributed Graph Pattern Matching;14
SOCIAL NETWORKS - Social Networks (475);Vertex Collocation Profiles: Subgraph Counting for Link Analysis and Prediction;14
SOCIAL NETWORKS - Social Networks (772);Framework and Algorithms for Network Bucket Testing;14
SOCIAL NETWORKS - Social Networks (1131);Winner Takes All: Competing Viruses or Ideas on fair-play Networks;14
ENGINEERING PERFORMANCE - Web Engineering - 2 (645);Towards Network-aware Service Composition in the Cloud;14
ENGINEERING PERFORMANCE - Web Engineering - 2 (649);Towards Robust Service Compositions in the Context of Functionally Diverse Services;14
ENGINEERING PERFORMANCE - Web Engineering - 2 (77);CloudGenius: Decision Support for Web Server Cloud Migration;14
INTERFACES ENGINEERING - User Interfaces and Human Factors (204);A Dual-Mode User Interface for Accessing 3D Content on the Webü;14
INTERFACES ENGINEERING - User Interfaces and Human Factors (755);Exploiting Single-User Web Applications for Shared Editing - A Generic Transformation Approach;14
INTERFACES ENGINEERING - User Interfaces and Human Factors (945);It's Simply Integral to What I do: Enquiries into how the Web is Weaved into Everyday Life;14
CROWDSOURCING (43);Max Algorithms in Crowdsourcing Environments;14
CROWDSOURCING (1134);Crowdsourcing with Endogenous Entry;14
CROWDSOURCING (545);Answering Search Queries with CrowdSearcher;14
Break;Break;9
Lunch;Lunch;9
Welcome;Welcome;9
Appification of the web;The First Workshop on Appification of the Web will be held on April 16, 2012, in Lyon, France, in conjunction with the 21st World Wide Web Conference (WWW 2012). The workshop will bring together researchers and practitioners from industry and academia to discuss the impact of mobile apps on the Web search and browsing paradigms.;17
Data Usage Management on the web;The current abundance of digital data requires societal, legal, economical, and technical approaches to ensure appropriate use of this vast amount of data. Following two successful events - the Dagstuhl Seminar onÊDistributed Usage ControlÊand theÊW3C Privacy and Data Usage Control Workshop, the goal of this workshop is to discuss current developments in usage management and to identify interesting areas of future research;17
HCI, web and Graphics curricula at the Crossroads of Science, Design and Technology;The objective of this workshop is to coordinate the community of practice as we share scholarly insights into the learning outcomes of the relevant domains and into the relationships between these outcomes.;17
LDOW 2012 : linked Data on the web;The Web is continuing to develop from a medium for publishing textual documents into a medium for sharing structured data. In 2011, the Web of Linked Data grew to a size of about 32 billion RDF triples, with contributions coming increasingly from companies, governments and other public sector bodies such as libraries, statistical bodies or environmental agencies;17
LSNA : Large Scale Network Analysis;Large network data are being produced by various applications in an ever growing rate, from social networks such as Facebook and Twitter, scientific citation networks such as CiteSeerX, to biological networks such as protein interaction networks;17
MSM 2012 : Making Sense of Microposts;With the appearance and expansion of Twitter, Facebook Like, Foursquare, and similar low-effort publishing services, the effort required to participate on the Web is getting lower and lower;17
Multi-A pro : International Workshop on interoperabiliy of users;Gather researchers from the industrial and academic communities and organize a discussion around challenges in multi-application user modeling and personalization, such as interoperability, semantic approaches, social applications, privacy, and context-awareness, and on how to further direct and capitalize on the relevant ongoing research efforts on the Web;17
SMANE 2012 : Intl. Workshop on Social Media Applications in News and Entertainment;The aim of this workshop is to encourage discussion and sharing of ideas and research results on social media research, techniques, and applications, in two crucial areas: News and Entertainment;17
The Anti-Social Web : Credibility and Quality Issues on the Web and Social Media (WebQuality 2012);The objective of the workshop is to provide the research communities working on web spam, abuse, credibility, and reputation topics with a survey of current problems and potential solutions;17
WI&C : Web Intellignece & Communities;Web Intelligence consists of a multidisciplinary area dealing with exploiting data and services over the Web, to create new data and services using both Information and Communication Technologies (ICT) and Artificial Intelligence (AI) techniques. Communities appear as a first-class object in the areas of web intelligence and agent technologies, as well as a crucial crossroads of several sub-domains;17
WS-REST 2012 : Third international Workshop on RESTful Design;The Third International Workshop on RESTful Design (WS-REST 2012) aims to provide a forum for discussion and dissemination of research on the emerging resource-oriented style of Web service design.;17
Community Question answering on the Web;In spite of the continuous progress of Web search engines in the last 20 years, many users' needs still remain unanswered;17
USEWOD 2012 : 2nd on Usage Analysis and the Web of Data ;The purpose of this workshop is to investigate new developments concerning the synergy between semantics and semantic-web technology on the one hand, and the analysis and mining of usage data on the other hand;17
Emerging Web Technologies, Facing the Future of Education;The Net Generation, Y Generation, C Generation, digital natives... there are many terms Ð several controversial - used to name youth who were born into a world where the Internet is of great importance;17
